Timestamp,EAR,MAR,Status
07:40:52,0.295,1.049,Drowsy / Yawning
07:40:52,0.29,1.032,Drowsy / Yawning
07:40:52,0.286,1.083,Drowsy / Yawning
07:40:52,0.279,1.096,Drowsy / Yawning
07:40:52,0.289,1.034,Drowsy / Yawning
07:40:52,0.266,1.008,Drowsy / Yawning
07:40:52,0.254,1.083,Drowsy / Yawning
07:40:52,0.271,0.927,Drowsy / Yawning
07:40:52,0.267,0.875,Drowsy / Yawning
07:40:52,0.275,0.911,Drowsy / Yawning
07:40:52,0.259,0.847,Drowsy / Yawning
07:40:52,0.273,0.82,Drowsy / Yawning
07:40:52,0.279,0.856,Drowsy / Yawning
07:40:52,0.267,0.879,Drowsy / Yawning
07:40:52,0.279,0.871,Drowsy / Yawning
07:40:52,0.277,0.881,Drowsy / Yawning
07:40:52,0.27,0.794,Drowsy / Yawning
07:40:52,0.28,0.723,Normal
07:40:53,0.298,0.647,Normal
07:40:53,0.297,0.705,Normal
07:40:53,0.315,0.782,Drowsy / Yawning
07:40:53,0.294,0.791,Drowsy / Yawning
07:40:53,0.332,0.763,Drowsy / Yawning
07:40:53,0.327,0.734,Normal
07:40:53,0.331,0.66,Normal
07:40:53,0.325,0.668,Normal
07:40:53,0.339,0.665,Normal
07:40:53,0.353,0.685,Normal
07:40:53,0.334,0.672,Normal
07:40:53,0.341,0.653,Normal
07:40:53,0.327,0.698,Normal
07:40:53,0.335,0.757,Drowsy / Yawning
07:40:53,0.362,0.713,Normal
07:40:53,0.353,0.757,Drowsy / Yawning
07:40:53,0.341,0.732,Normal
07:40:53,0.342,0.68,Normal
07:40:53,0.344,0.751,Drowsy / Yawning
07:40:53,0.376,0.749,Normal
07:40:53,0.359,0.712,Normal
07:40:53,0.355,0.739,Normal
07:40:53,0.348,0.771,Drowsy / Yawning
07:40:53,0.341,0.806,Drowsy / Yawning
07:40:53,0.339,0.804,Drowsy / Yawning
07:40:53,0.335,0.806,Drowsy / Yawning
07:40:53,0.349,0.773,Drowsy / Yawning
07:40:53,0.335,0.799,Drowsy / Yawning
07:40:53,0.33,0.821,Drowsy / Yawning
07:40:53,0.315,0.769,Drowsy / Yawning
07:40:54,0.266,0.761,Drowsy / Yawning
07:40:54,0.207,0.753,Drowsy / Yawning
07:40:54,0.239,0.813,Drowsy / Yawning
07:40:54,0.264,0.804,Drowsy / Yawning
07:40:54,0.318,0.796,Drowsy / Yawning
07:40:54,0.285,0.769,Drowsy / Yawning
07:40:54,0.245,0.814,Drowsy / Yawning
07:40:54,0.161,0.822,Drowsy / Yawning
07:40:54,0.148,0.788,Drowsy / Yawning
07:40:54,0.146,0.757,Drowsy / Yawning
07:40:54,0.151,0.829,Drowsy / Yawning
07:40:54,0.119,0.826,Drowsy / Yawning
07:40:54,0.145,0.842,Drowsy / Yawning
07:40:54,0.162,0.808,Drowsy / Yawning
